89277,-20.304,14298,5.2444,3389.8,57,0.90476
-40402,-43.731,10021,6.536,2001.2,24,0.61538
-83186,2.5596,-4104.5,-3.8997,-691.15,3,0.047619
-69631,-7.4188,-225.41,-4.501,1259.8,81,1.2857
87807,17.549,-5527.6,-7.6508,125.66,63,1
-71313,3.3523,-4058.9,-4.6402,-540.35,9,0.16667
-82508,-46.23,10262,7.8228,1790.7,9,0.16667
-64721,-1.5957,-2761.5,-3.8698,-25.133,27,0.42857
95799,-14.985,15315,7.6,2884,27,0.42857
-76220,-43.642,12802,7.9286,2331.1,15,0.2381
-82900,0.49061,-3498.2,-4.1667,-458.67,9,0.16667
-53993,-36.199,12950,7.8828,2331.1,15,0.2381
93529,-20.045,11420,8.8042,1969.8,9,0.16667
87971,33.864,-3538.2,-8.1457,-47.124,30,0.90909
70877,-8.0426,5778.2,3.998,1146.7,9,0.14286
89749,-7.8266,5101.2,3.1111,1222.1,21,0.5
69314,31.636,-5427.1,-5.3784,-797.96,6,0.10526
-75962,-31.294,4864.8,3.8427,879.65,3,0.047619
-58375,-56.329,6882.4,4.9683,1523.7,21,0.5
-66984,8.0832,-9084.7,-7.9335,-1146.7,15,0.2381
1.0604e+05,-28.654,11376,7.4111,2368.8,33,1.1
89085,-35.404,12061,7.819,2459.9,33,1.1
80556,-10.887,7874.4,4.8437,1583.4,15,0.2381
-74366,3.4104,-4864,-4.9768,-587.48,15,0.2381
-68160,3.7487,-7373.3,-8.0381,-464.96,42,0.66667
-56906,-43.207,6997.9,5.0377,1407.4,15,0.3125
83884,-9.716,5622.7,4.4754,1046.2,6,0.10526
-53289,-52.644,11198,8.1143,2086,18,0.4
78625,-8.2883,5491.5,4.6222,992.74,3,0.05
88073,-12.954,10276,8.1397,1690.2,3,0.05
93959,33.563,-3518.6,-8.2338,-50.265,30,0.90909
88711,-11.074,8395.9,4.2524,1903.8,27,0.42857
88193,-25.524,11562,8.3333,2196,21,0.5
86564,18.608,-6813.3,-8.2476,-116.24,57,0.90476
-68956,-33.409,6795.3,3.3574,1577.1,24,0.38095
-23711,-5.1231,-149.23,-5.631,590.62,39,1.625
-66013,3.0457,-3913.6,-3.7758,-505.8,9,0.14286
-45071,-8.6178,-313.37,-5.0529,537.21,36,1.3333
-56449,-33.592,7782.5,4.87,1592.8,15,0.2381
79152,23.277,-7858.7,-7.8874,-672.3,33,0.52381
-79303,4.2129,-5219,-4.658,-838.81,3,0.047619
78868,-18.388,7067.8,5.5826,1404.3,12,0.23529
-52051,-0.5105,-2894.2,-4.9082,311.02,48,0.7619
-24055,-62.622,11746,8.3413,2334.2,27,0.75
-57610,-38.215,18071,8.0072,3465.2,36,0.57143
87227,-31.408,12101,8.3413,2362.5,27,0.75
89300,-17.058,15366,7.8302,2924.8,27,0.42857
-83276,-41.198,9365.1,4.727,2042,27,0.42857
91084,-12.602,10300,4.404,2337.3,36,0.57143
-54106,2.1762,-5519,-7.4373,47.124,57,0.90476
-68468,-32.756,7193.5,4.1966,1442,15,0.2381
1.0148e+05,-28.512,11841,7.8918,2384.5,30,0.90909
-54720,-42.999,5713,3.8349,1256.6,18,0.4
-56658,6.9074,-3619.1,-8.2222,-87.965,30,0.90909
-83241,11.736,-8091.2,-8.2249,-1162.4,9,0.16667
-46298,1.9384,-2338.1,-4.8651,-78.54,21,0.5
89107,-30.019,7605.8,4.2646,1866.1,36,1.3333
93154,-17.136,13880,4.1392,3509.2,69,1.0952
77777,14.46,-2265.1,-4.8962,464.96,54,0.85714
94342,19.735,693.51,-3.873,744.56,39,1.625
97076,-23.656,11797,7.5166,2353.1,30,0.90909
-69832,13.257,-7005,-7.7731,-933.05,12,0.23529
-71008,-1.0715,-2611.4,-3.9673,-185.35,15,0.3125
-34893,-28.061,1419.2,-3.254,920.49,42,2
76779,22.542,-734.35,-4.4863,348.72,30,0.90909
93853,-16.927,14307,4.6825,3493.5,63,1
79803,28.608,-2254.1,-4.0762,-94.248,18,0.4
-85126,12.476,-10163,-8.2698,-1558.2,3,0.047619
-70838,-39.205,10652,8.026,1743.6,3,0.047619
-65203,-69.165,6551,4.1429,1636.8,30,0.90909
1.0734e+05,22.637,945.62,-4.2222,810.53,42,2
11271,-80.818,7671.8,3.8159,2092.3,48,3.2
-61482,-2.5901,-1937.6,-3.0168,-160.22,12,0.23529
-51930,1.9736,-3758.9,-5.1025,-62.832,36,0.57143
72171,34.814,-4288.3,-4.8651,-590.62,9,0.16667
78143,35.704,-4744.6,-5.3095,-662.88,9,0.16667
91907,-49.513,7722.8,4.4921,2007.5,42,2
79104,-19.317,10919,8.2316,1947.8,12,0.23529
70613,32.282,-9619.6,-8.4585,-1288.1,15,0.2381
82527,-17.382,19875,7.5804,3964.7,48,0.7619
-65739,-66.202,10833,7.6886,2152,24,0.61538
-69847,-57.538,11417,8.7731,2035.8,12,0.23529
82248,-15.949,11716,8.8911,1919.5,3,0.047619
78817,-14.604,11348,4.9886,2409.6,33,0.52381
-66341,13.525,-9442.1,-8.1008,-1445.1,3,0.05
79565,38.276,-9868.5,-8.101,-1523.7,3,0.047619
-49173,-87.337,7052.1,4.6365,1743.6,33,1.1
-72064,-5.5527,-1666.6,-6.7635,289.03,33,1.1
-65077,-46.571,11296,8.6481,1944.6,9,0.16667
-59675,-5.8741,-1163.2,-8.6825,524.65,42,2
-56261,-9.7774,-490.87,-3.9726,398.98,30,0.90909
-52271,2.5776,-2470.1,-4.4032,-153.94,18,0.4
-62628,-38.963,10193,7.8045,1696.5,3,0.047619
81219,16.879,-2149.6,-4.3187,380.13,48,0.7619
77990,-12.973,6234.5,4.7249,1175,9,0.16667
-29834,-30.059,1543.3,-5.1079,1039.9,48,3.2
73796,35.735,-5171.8,-7.8016,-474.38,21,0.5
85548,-10.643,7599.5,4.1032,1639.9,21,0.33333
93214,-13.238,12599,4.7079,2934.2,48,0.7619
58950,-6.812,5225.3,4.0245,920.49,3,0.047619
80318,33.851,-2055.4,-3.5357,-153.94,15,0.3125
82005,18.27,-3162,-5.127,163.36,45,0.71429
78002,25.79,-1375.2,-4.1013,141.37,24,0.61538
-84524,7.8121,-8734.4,-7.79,-1146.7,15,0.2381
-61848,-35.885,16541,8.0413,3031.6,27,0.42857
-70301,3.9543,-7352.1,-7.7244,-549.78,36,0.57143
85928,30.888,-3029.3,-7.5772,28.274,30,0.90909
64520,28.043,-5080,-4.9791,-722.57,6,0.10526
98658,-13.944,16259,7.7481,3085,30,0.47619
72462,-16.586,11080,8.6452,1790.7,3,0.05
76319,19.447,-2758.3,-3.9222,-43.982,27,0.42857
80753,-9.457,6628.8,5.2672,1281.8,9,0.16667
94427,-13.106,10650,4.254,2519.6,42,0.66667
-72311,-49.447,11366,8.2639,2042,15,0.3125
65179,27.837,-4430.4,-7.8132,-285.88,24,0.61538
-62039,-48.091,25231,8.3698,5211.9,69,1.0952
98696,-13.545,13935,8.3443,2444.2,15,0.2381
83338,-9.9418,7239,4.4884,1498.5,15,0.2381
-40046,-9.5618,151.58,-7.0635,763.41,42,2
-49896,-60.085,8148.5,5.8205,1768.7,24,0.61538
-44079,-58.746,6498.4,3.6032,1646.2,33,1.1
-76823,-38.979,7983.6,4.8791,1592.8,15,0.2381
1.0674e+05,-99.11,11999,8.3778,2774,48,3.2
69200,33.628,-7570.5,-7.7116,-1065,9,0.16667
71294,40.63,-10857,-8.8182,-1668.2,3,0.047619
74831,-14.78,10062,7.8287,1712.2,6,0.10526
75482,29.891,-4768.9,-4.8175,-716.28,9,0.14286
-64515,-47.341,10655,8.4094,1815.8,6,0.10526
-65536,-42.516,12739,4.3687,3116.5,57,0.90476
62700,36.425,-8991.2,-7.854,-1401.2,3,0.05
74926,39.763,-8627.6,-8.0276,-1278.6,6,0.10526
-27522,-90.792,8161.9,4.8254,2079.7,42,2
84913,-12.472,9314.8,4.47,2104.9,30,0.47619
78184,-45.16,7548.5,4.4246,1906.9,39,1.625
1.2316e+05,21.433,1742,-4.2794,1043,48,3.2
84658,24.659,-666.02,-5.0921,402.12,33,1.1
66392,32.936,-4997.5,-4.627,-838.81,3,0.047619
-71537,-33.174,8044.8,3.7476,1800.1,27,0.42857
-77330,10.013,-9551.2,-8.0119,-1341.5,9,0.14286
76262,-10.683,6972.8,5.0833,1382.3,9,0.14286
65145,-19.326,6745.8,4.7651,1429.4,18,0.4
-76779,15.872,-10183,-8.4625,-1599.1,3,0.047619
-57589,-74.585,6304.4,4.5119,1555.1,27,0.75
-65809,-0.64184,-2282.4,-3.9256,-194.78,15,0.3125
-65103,8.9565,-8976.3,-7.9176,-1159.2,15,0.2381
69327,34.102,-4996.7,-4.8548,-835.66,3,0.05
74140,-10.235,6243.9,4.8283,1080.7,3,0.047619
-58556,9.9974,-5626.6,-8.2698,-534.07,21,0.5
-69111,9.9115,-5564.5,-8.9536,-480.66,24,0.61538
73232,-13.142,7133.8,4.3956,1460.8,15,0.2381
71460,36.098,-8174.4,-7.7093,-1218.9,6,0.10526
79422,-29.703,7235.9,4.824,1737.3,30,0.90909
84847,31.473,-8879.7,-7.9933,-1187.5,15,0.2381
-69293,-35.096,5682.4,4.4904,1052.4,6,0.10526
-58431,-30.509,5621.9,4.4928,1011.6,3,0.047619
-66556,-35.442,8568.7,4.2159,1916.4,27,0.42857
